setup,base,qib,tr_n,tr_mean,tr_median,tr_win,tr_pf,tr_p10,tr_p90,tr_hold,te_n,te_mean,te_median,te_win,te_pf,te_p10,te_p90,te_hold
A10,,0,281,14.3,-2.6,46,3.6,-12.5,64.2,14.0,227,5.6,-7.0,44,2.0,-12.0,37.5,19.0
A10,,15,156,15.7,-2.7,47,3.85,-12.6,68.2,14.0,103,4.9,-9.5,42,1.81,-12.3,34.6,16.0
A10,,50,124,16.3,-2.7,47,3.99,-12.6,71.6,14.0,64,2.7,-9.5,41,1.44,-12.4,28.8,15.0
A10,-10.0,0,256,15.1,-2.5,46,3.76,-12.6,65.9,14.0,211,5.7,-7.0,44,2.01,-12.0,36.8,19.0
A10,-10.0,15,142,16.2,-2.2,48,3.99,-12.6,69.1,14.0,96,4.7,-9.4,42,1.77,-12.4,32.8,15.0
A10,-10.0,50,112,16.9,-2.2,47,4.16,-12.6,72.1,14.0,60,2.9,-9.3,42,1.48,-12.4,25.9,14.0
A10,-15.0,0,274,14.7,-2.5,46,3.68,-12.5,65.0,14.0,224,5.5,-6.6,44,1.98,-12.0,36.8,19.0
A10,-15.0,15,153,16.0,-2.6,48,3.93,-12.6,68.9,14.0,101,4.5,-9.5,42,1.73,-12.3,33.7,15.0
A10,-15.0,50,122,16.5,-2.7,47,4.03,-12.6,72.1,14.0,63,3.0,-9.5,41,1.48,-12.4,29.3,15.0
A10,-20.0,0,279,14.4,-2.6,46,3.62,-12.5,64.4,14.0,227,5.6,-7.0,44,2.0,-12.0,37.5,19.0
A10,-20.0,15,155,15.9,-2.6,48,3.91,-12.6,68.4,14.0,103,4.9,-9.5,42,1.81,-12.3,34.6,16.0
A10,-20.0,50,123,16.6,-2.6,47,4.07,-12.6,71.9,14.0,64,2.7,-9.5,41,1.44,-12.4,28.8,15.0
A25,,0,319,12.9,-9.0,44,3.22,-12.6,60.3,14.0,255,5.4,-7.0,45,1.97,-12.0,37.8,20.0
A25,,15,186,13.4,-9.2,44,3.25,-12.6,62.9,14.0,117,4.9,-9.2,44,1.83,-12.1,34.1,17.0
A25,,50,148,14.6,-9.1,44,3.53,-12.6,67.8,14.0,72,3.3,-9.2,43,1.55,-12.3,29.8,16.0
A25,-10.0,0,270,14.5,-2.7,46,3.6,-12.6,65.4,14.0,224,5.7,-5.3,45,2.03,-12.0,36.8,20.0
A25,-10.0,15,151,15.0,-3.8,46,3.65,-12.6,66.9,14.0,101,4.7,-9.2,44,1.8,-12.3,31.8,17.0
A25,-10.0,50,118,16.1,-2.7,47,3.97,-12.6,70.6,14.0,63,2.8,-9.2,43,1.48,-12.4,24.4,15.0
A25,-15.0,0,295,13.8,-2.8,45,3.47,-12.5,62.7,14.0,244,5.4,-6.6,45,1.97,-12.0,36.8,20.0
A25,-15.0,15,169,14.4,-9.0,46,3.51,-12.6,66.6,14.0,110,4.8,-9.2,44,1.81,-12.2,33.8,17.0
A25,-15.0,50,133,15.5,-2.8,46,3.82,-12.5,69.3,14.0,68,3.4,-9.2,43,1.57,-12.3,31.3,16.0
A25,-20.0,0,310,13.4,-6.1,45,3.34,-12.6,60.9,14.0,253,5.4,-7.0,45,1.96,-12.0,36.8,20.0
A25,-20.0,15,181,14.0,-9.1,44,3.36,-12.6,66.5,14.0,117,4.9,-9.2,44,1.83,-12.1,34.1,17.0
A25,-20.0,50,143,15.3,-9.1,45,3.69,-12.6,69.3,14.0,72,3.3,-9.2,43,1.55,-12.3,29.8,16.0
A40,,0,336,11.9,-9.2,43,3.0,-12.6,59.6,14.0,267,5.4,-9.0,44,1.95,-12.0,39.4,20.0
