exit,trail,act,tstop,tr_n,tr_avg,tr_med,tr_win,tr_pf,te_n,te_avg,te_med,te_win,te_pf,tail_capture_pnl
full,12,15.0,60.0,452,8.0,-9.5,38,2.24,351,3.8,-9.3,40,1.63,1029.0
full,12,15.0,120.0,452,8.5,-9.6,38,2.29,351,3.8,-9.5,40,1.62,1050.0
full,12,15.0,250.0,452,8.4,-9.6,38,2.27,351,3.9,-9.5,40,1.64,1050.0
full,12,25.0,60.0,452,8.0,-9.7,36,2.13,351,4.6,-9.5,38,1.73,1029.0
full,12,25.0,120.0,452,8.3,-9.8,35,2.14,351,5.1,-9.6,38,1.78,1050.0
full,12,25.0,250.0,452,8.2,-9.9,34,2.11,351,5.2,-9.6,38,1.78,1050.0
full,20,15.0,60.0,452,8.6,-9.6,33,2.21,351,4.4,-9.5,36,1.69,1338.0
full,20,15.0,120.0,452,9.3,-9.7,30,2.27,351,5.8,-9.6,35,1.88,1469.0
full,20,15.0,250.0,452,9.4,-9.7,30,2.3,351,5.1,-9.6,35,1.77,1469.0
full,20,25.0,60.0,452,8.5,-9.7,33,2.19,351,4.4,-9.5,37,1.69,1338.0
full,20,25.0,120.0,452,9.2,-9.8,31,2.25,351,5.9,-9.6,36,1.88,1469.0
full,20,25.0,250.0,452,9.3,-9.9,31,2.25,351,5.1,-9.6,36,1.77,1469.0
full,25,15.0,60.0,452,9.2,-9.7,32,2.25,351,4.6,-9.5,36,1.71,1290.0
full,25,15.0,120.0,452,10.1,-9.8,29,2.33,351,6.4,-9.6,32,1.94,1613.0
full,25,15.0,250.0,452,9.7,-9.9,28,2.25,351,5.5,-9.6,32,1.81,1502.0
full,25,25.0,60.0,452,9.2,-9.7,32,2.25,351,4.6,-9.5,36,1.71,1290.0
full,25,25.0,120.0,452,10.1,-9.9,29,2.33,351,6.4,-9.6,32,1.94,1613.0
full,25,25.0,250.0,452,9.6,-9.9,28,2.25,351,5.5,-9.7,32,1.81,1502.0
runner,20,,,452,4.4,-9.6,42,1.67,351,2.4,-9.5,43,1.4,790.0
runner,25,,,452,4.5,-9.6,39,1.69,351,2.6,-9.5,40,1.43,806.0
runner,30,,,452,4.9,-9.6,34,1.72,351,2.1,-9.5,37,1.34,1180.0
