company,board,listing_date,peak_vs_issue_pct,now_vs_issue_pct,reason_missed
Divine Power Energy Ltd.,SME,2024-07-02,1384.75,1371.13,first cross too late (day 292)
Bondada Engineering Ltd.,SME,2023-08-30,864.6,293.67,never closed above pivot (pure grinder)
M.V.K.Agro Food Product Ltd.,SME,2024-03-07,582.5,204.58,first cross too late (day 289)
Polysil Irrigation Systems Ltd.,SME,2024-02-16,560.65,105.56,first cross too late (day 293)
Esconet Technologies Ltd.,SME,2024-02-23,542.8,51.25,first cross too late (day 83)
Slone Infosystems Ltd.,SME,2024-05-10,502.53,60.76,first cross too late (day 29)
Sunlite Recycling Industries Ltd.,SME,2024-08-20,455.76,326.19,first cross too late (day 281)
Qualitek Labs Ltd.,SME,2024-01-29,405.95,337.0,first cross too late (day 100)
Iware Supplychain Services Ltd.,SME,2025-05-06,390.53,390.53,illiquid at signal (<₹1cr/day)
Maitreya Medicare Ltd.,SME,2023-11-07,387.8,53.23,first cross too late (day 41)
Oneclick Logistics India Ltd.,SME,2023-10-11,384.75,338.38,first cross too late (day 293)
Aeroflex Industries Ltd.,Mainboard,2023-08-31,383.24,280.46,first cross too late (day 250)
Stallion India Fluorochemicals Ltd.,Mainboard,2025-01-23,370.89,125.7,first cross too late (day 128)
Silkflex Polymers (India) Ltd.,SME,2024-05-15,347.12,298.56,illiquid at signal (<₹1cr/day)
Committed Cargo Care Ltd.,SME,2023-10-18,340.13,338.96,first cross too late (day 271)
Maxposure Ltd.,SME,2024-01-23,339.39,5.61,never closed above pivot (pure grinder)
Alphalogic Industries Ltd.,SME,2023-07-14,302.08,57.29,illiquid at signal (<₹1cr/day)
Parmeshwar Metal Ltd.,SME,2025-01-09,295.9,221.31,first cross too late (day 202)
Akiko Global Services Ltd.,SME,2024-07-02,295.84,270.13,first cross too late (day 253)
Divine Hira Jewellers Ltd.,SME,2025-03-24,294.72,23.78,first cross too late (day 102)
RNFI Services Ltd.,SME,2024-07-29,284.76,138.76,first cross too late (day 107)
Purv Flexipack Ltd.,SME,2024-03-05,284.51,-32.39,never closed above pivot (pure grinder)
Senores Pharmaceuticals Ltd.,Mainboard,2024-12-30,280.54,271.3,first cross too late (day 54)
Arvind & Co.Shipping Agencies Ltd.,SME,2023-10-25,239.56,-33.33,first cross too late (day 167)
Quality Power Electrical Equipments Ltd.,Mainboard,2025-02-24,239.06,181.15,first cross too late (day 58)
Visaman Global Sales Ltd.,SME,2024-07-01,237.21,150.23,first cross too late (day 157)
Voler Car Ltd.,SME,2025-02-19,225.44,146.11,first cross too late (day 36)
P S Raj Steels Ltd.,SME,2025-02-19,214.25,193.93,first cross too late (day 69)
Fonebox Retail Ltd.,SME,2024-02-02,210.0,4.29,never closed above pivot (pure grinder)
Magson Retail & Distribution Ltd.,SME,2023-07-06,206.92,178.46,first cross too late (day 83)
Interiors & More Ltd.,SME,2024-02-23,203.52,-24.3,first cross too late (day 28)
HP Telecom India Ltd.,SME,2025-02-28,203.15,172.22,illiquid at signal (<₹1cr/day)
Blue Jet Healthcare Ltd.,Mainboard,2023-11-01,197.05,75.0,first cross too late (day 153)
Vibhor Steel Tubes Ltd.,Mainboard,2024-02-20,195.53,-25.67,never closed above pivot (pure grinder)
EPACK Durable Ltd.,Mainboard,2024-01-30,191.28,3.17,first cross too late (day 93)
Retaggio Industries Ltd.,SME,2025-04-07,190.72,104.0,first cross too late (day 100)
ABS Marine Services Ltd.,SME,2024-05-21,189.12,57.35,base broke -25% before cross
Rulka Electricals Ltd.,SME,2024-05-24,183.66,-51.0,first cross too late (day 26)
Maxvolt Energy Industries Ltd.,SME,2025-02-19,182.78,110.81,first cross too late (day 30)
Storage Technologies & Automation Ltd.,SME,2024-05-08,182.69,-55.45,base broke -25% before cross
Tata Technologies Ltd.,Mainboard,2023-11-30,180.0,51.31,never closed above pivot (pure grinder)
Avana Electrosystems Ltd.,SME,2026-01-20,169.49,137.71,first cross too late (day 51)
Mayank Cattle Food Ltd.,SME,2024-02-05,168.52,105.56,first cross too late (day 53)
Garuda Construction & Engineering Ltd.,Mainboard,2024-10-15,162.42,93.05,first cross too late (day 49)
On Door Concepts Ltd.,SME,2023-11-01,161.97,-5.34,first cross too late (day 40)
Tejas Cargo India Ltd.,SME,2025-02-24,159.43,129.17,first cross too late (day 73)
Mamata Machinery Ltd.,Mainboard,2024-12-27,159.26,56.56,never closed above pivot (pure grinder)
Harshdeep Hortico Ltd.,SME,2024-02-05,157.78,80.22,first cross too late (day 52)
Veritaas Advertising Ltd.,SME,2024-05-21,153.29,-64.78,never closed above pivot (pure grinder)
Unicommerce eSolutions Ltd.,Mainboard,2024-08-13,144.44,-20.19,never closed above pivot (pure grinder)
Paragon Fine & Speciality Chemical Ltd.,SME,2023-11-03,136.0,-50.75,never closed above pivot (pure grinder)
Sai Life Sciences Ltd.,Mainboard,2024-12-18,135.34,131.11,first cross too late (day 132)
Net Avenue Technologies Ltd.,SME,2023-12-08,133.33,-65.28,never closed above pivot (pure grinder)
Accretion Nutraveda Ltd.,SME,2026-02-04,132.56,95.27,first cross too late (day 31)
Vision Infra Equipment Solutions Ltd.,SME,2024-09-13,130.61,91.6,first cross too late (day 66)
Mish Designs Ltd.,SME,2023-11-07,129.92,-73.63,first cross too late (day 67)
Excellent Wires & Packaging Ltd.,SME,2024-09-19,127.78,125.06,first cross too late (day 199)
