rule,n,r20_med,r20_win,r60_med,r60_win,r60_mean,r60_p90
ALL pivot breakouts,704,3.0,55,3.4,54,13.7,68.3
breakout ≤25 sessions,591,3.5,56,4.0,55,14.9,72.2
+ base low > -15%,413,11.5,73,12.4,66,25.6,80.8
+ QIB ≥ 15x,209,11.2,72,11.3,65,22.1,74.3
composite — SME only,129,20.5,78,17.6,70,31.0,89.6
composite — mainboard only,80,4.2,61,5.0,59,8.3,39.0
composite — 2023 listings,45,6.6,71,19.4,76,28.4,71.4
composite — 2024 listings,78,16.5,77,10.0,63,27.6,81.6
composite — 2025 listings,70,6.9,62,5.4,59,9.6,36.4
composite — 2026 listings,16,12.4,92,37.1,100,37.0,70.2
