company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
Veefin Solutions Ltd.,SME,543931,INE0Q0M01015,1,early pivot reclaim,2023-07-06,2023-07-07,98.4,90.53,113.16,2023-07-11,89.61,stop -8%,2,-10.43,0.9
Greenchef Appliances Ltd.,SME,GREENCHEF,INE0O7P01015,1,early pivot reclaim,2023-07-07,2023-07-10,114.65,105.48,131.85,2023-07-11,103.5,stop -8%,1,-11.23,0.0
Cyient DLM Ltd.,Mainboard,CYIENTDLM,INE055S01018,1,early pivot reclaim,2023-07-11,2023-07-12,507.5,466.9,583.62,2024-01-08,657.25,"time (120 sessions, unproven)",121,28.51,42.0
Global Pet Industries Ltd.,SME,GLOBALPET,INE0PS501019,1,early pivot reclaim,2023-07-11,2023-07-12,58.15,53.5,66.87,2026-03-02,109.0,trail (30% off peak after +15%),580,85.95,168.3
Veefin Solutions Ltd.,SME,543931,INE0Q0M01015,2,early pivot reclaim,2023-07-14,2023-07-17,98.53,90.65,113.31,2023-10-25,196.65,trail (30% off peak after +15%),68,98.08,194.2
Greenchef Appliances Ltd.,SME,GREENCHEF,INE0O7P01015,2,early pivot reclaim,2023-07-19,2023-07-20,116.0,106.72,133.4,2023-07-31,104.7,stop -8%,7,-11.24,0.0
Pentagon Rubber Ltd.,SME,PENTAGON,INE0ORS01017,1,early pivot reclaim,2023-07-20,2023-07-21,128.5,118.22,147.77,2023-07-27,116.0,stop -8%,4,-11.23,0.4
Kaka Industries Ltd.,SME,543939,INE0P3N01018,1,early pivot reclaim,2023-07-20,2023-07-21,119.0,109.48,136.85,2024-03-13,159.8,trail (30% off peak after +15%),158,32.79,101.1
AccelerateBS India Ltd.,SME,543938,INE0POP01017,1,early pivot reclaim,2023-07-20,2023-07-21,126.74,116.6,145.75,2023-07-27,115.0,stop -8%,4,-10.76,3.8
Utkarsh Small Finance Bank Ltd.,Mainboard,UTKARSHBNK,INE735W01017,1,early pivot reclaim,2023-07-24,2023-07-25,52.5,48.3,60.37,2023-07-27,48.15,stop -8%,2,-9.29,0.0
